device_id,device_type,operating_system,fingerprint,ip_address_id,first_seen
D0001,tablet,Linux,b4d42b3ebc794d34,IP0010,2022-04-14
D0002,desktop,iOS 17,aab11b5e66264f74,IP0015,2023-10-31
D0003,tablet,Windows 11,aa180c21bf584e1a,IP0013,2022-04-03
D0004,desktop,Linux,1a2b2e804d0d4932,IP0018,2023-02-22
D0005,desktop,macOS 14,f5e3bfa567594a80,IP0003,2023-02-15
D0006,tablet,iOS 17,a39c7612d2de40d4,IP0014,2023-07-20
D0007,tablet,Windows 11,0f45e024043b4bde,IP0020,2023-10-11
D0008,desktop,iOS 17,c327c07d1a1f41a5,IP0003,2023-08-11
D0009,mobile,Linux,85d0e8b048be4277,IP0019,2022-08-20
D0010,mobile,Windows 11,ddbad55bb98247cd,IP0019,2023-06-08
D0011,mobile,Android 14,9c115bc2e5c24110,IP0016,2023-02-27
D0012,tablet,macOS 14,2f5f841a2ca149b3,IP0009,2023-02-18
D0013,mobile,Linux,a18957eebba94085,IP0014,2023-10-02
D0014,tablet,macOS 14,e419dd674fbd4808,IP0003,2022-07-12
D0015,desktop,Windows 11,35b800b4f3654a7c,IP0014,2022-09-26
D0016,desktop,Windows 11,d48e1dfa9067447e,IP0004,2022-08-03
D0017,mobile,Windows 11,c516331e1d3d45d4,IP0014,2023-12-30
D0018,tablet,macOS 14,4559c5e15b184e4e,IP0010,2023-08-18
D0019,tablet,macOS 14,cfce00d5aa6e40ad,IP0018,2022-01-26
D0020,mobile,macOS 14,246962356bdc410e,IP0003,2022-11-22
D0021,desktop,Windows 11,90711d69618a48af,IP0011,2023-08-19
D0022,mobile,macOS 14,6bc45c228f79440c,IP0017,2022-07-06
D0023,mobile,Linux,f9bbe6f6d35e4eb3,IP0015,2022-02-22
D0024,desktop,iOS 17,9d8c4dd4d5ee4760,IP0007,2023-04-07
D0025,tablet,Windows 11,f97e0e2176b54c43,IP0020,2022-12-13
D0026,desktop,macOS 14,b347c1a17363442b,IP0002,2023-06-06
D0027,mobile,Windows 11,9c2f2d4476bd4ed3,IP0018,2023-11-09
D0028,mobile,Windows 11,9768472f8f104959,IP0015,2022-07-10
D0029,tablet,macOS 14,8aea7cbaa8b444ec,IP0004,2022-02-04
D0030,mobile,Linux,f916abe14f9a4e33,IP0008,2022-12-07
D0031,tablet,Android 14,d1d848b4709940ce,IP0010,2023-02-24
D0032,tablet,iOS 17,06a2fde9c7544d19,IP0018,2023-08-09
D0033,desktop,iOS 17,50be0e490e244724,IP0008,2022-04-19
D0034,mobile,macOS 14,802bb0484ca64632,IP0009,2022-08-13
D0035,tablet,Android 14,352caa5c71804e60,IP0016,2023-09-26
D0036,tablet,Windows 11,ddfb182aa8304384,IP0017,2023-03-24
D0037,tablet,Windows 11,e3b6d3dddd154f2a,IP0014,2023-03-25
D0038,desktop,macOS 14,c5e12c112be346a4,IP0008,2023-08-24
D0039,desktop,Linux,c946d9ed352245a2,IP0005,2023-09-28
D0040,desktop,Android 14,ff09a5c68c35438e,IP0020,2022-07-04
D0041,tablet,Android 14,b2e0020a53e94255,IP0003,2023-11-12
D0042,desktop,macOS 14,37bf4bda9e8440f9,IP0011,2023-05-28
D0043,tablet,Windows 11,635824a7eedf495f,IP0004,2022-06-21
D0044,desktop,Windows 11,d1e13863a3e148d7,IP0019,2022-08-22
D0045,tablet,macOS 14,9d1639d0d6424741,IP0005,2022-02-17
D0046,desktop,Linux,e3217f06ed85458b,IP0016,2023-04-05
D0047,desktop,Windows 11,364d08a4e50645f9,IP0018,2023-12-10
D0048,tablet,macOS 14,9490c7393f6045e1,IP0015,2023-05-02
D0049,desktop,Android 14,9ab5b4c8b90446a4,IP0008,2022-11-28
D0050,tablet,macOS 14,5cdf3305e691419d,IP0008,2023-01-20
