account_id,customer_id,account_type,balance,currency,status,opened_date,is_fraud
A0001,C0001,savings,46584.62,AUD,active,2020-07-09,True
A0002,C0002,checking,31906.44,AUD,active,2022-11-18,False
A0003,C0003,credit_card,653.65,AUD,active,2021-08-13,False
A0004,C0004,checking,146088.63,AUD,active,2023-06-26,True
A0005,C0005,savings,129758.55,AUD,active,2023-04-16,False
A0006,C0006,checking,4205.56,AUD,active,2021-03-28,False
A0007,C0007,checking,120434.15,AUD,active,2021-03-23,False
A0008,C0008,checking,24300.08,AUD,active,2020-05-03,False
A0009,C0009,checking,130888.93,AUD,active,2023-12-07,True
A0010,C0010,savings,30336.14,AUD,active,2022-10-17,False
A0011,C0011,checking,46126.03,AUD,active,2023-03-07,False
A0012,C0012,savings,4037.83,AUD,active,2020-11-29,False
A0013,C0013,checking,49575.16,AUD,active,2023-07-11,False
A0014,C0014,checking,52996.35,AUD,active,2021-02-26,False
A0015,C0015,checking,102087.96,AUD,active,2022-12-18,True
A0016,C0016,checking,140915.95,AUD,active,2020-08-02,False
A0017,C0017,checking,27195.89,AUD,active,2022-08-15,True
A0018,C0018,savings,16706.18,AUD,active,2022-07-01,False
A0019,C0019,checking,109417.49,AUD,active,2021-01-12,True
A0020,C0020,checking,91128.22,AUD,active,2022-11-07,False
A0021,C0021,savings,58086.72,AUD,suspended,2020-12-17,False
A0022,C0022,savings,38581.01,AUD,active,2020-12-28,False
A0023,C0023,savings,78228.09,AUD,active,2020-06-05,True
A0024,C0024,credit_card,34568.65,AUD,closed,2021-05-29,False
A0025,C0025,savings,54951.11,AUD,active,2022-01-04,False
A0026,C0026,credit_card,45642.4,AUD,suspended,2022-11-25,False
A0027,C0027,checking,99676.43,AUD,active,2020-01-10,True
A0028,C0028,credit_card,44502.58,AUD,active,2023-12-15,True
A0029,C0029,checking,100200.49,AUD,active,2021-09-25,False
A0030,C0030,checking,104732.66,AUD,active,2023-12-24,True
A0031,C0031,savings,29180.09,AUD,closed,2022-01-12,False
A0032,C0032,checking,101759.03,AUD,active,2020-11-06,False
A0033,C0033,credit_card,26300.79,AUD,active,2021-05-14,True
A0034,C0034,credit_card,40854.88,AUD,active,2022-10-01,False
A0035,C0035,checking,31922.31,AUD,suspended,2023-11-12,False
A0036,C0036,credit_card,31008.81,AUD,active,2022-10-11,True
A0037,C0037,checking,66602.89,AUD,active,2020-12-27,False
A0038,C0038,credit_card,21025.24,AUD,active,2023-02-22,False
A0039,C0039,credit_card,-336.25,AUD,active,2023-08-14,False
A0040,C0040,credit_card,29811.75,AUD,active,2023-11-20,False
A0041,C0041,savings,122854.31,AUD,active,2021-10-12,False
A0042,C0042,credit_card,12073.07,AUD,active,2023-12-22,False
A0043,C0043,savings,4151.6,AUD,active,2023-07-23,True
A0044,C0044,checking,91885.46,AUD,active,2023-05-10,False
A0045,C0045,checking,62458.93,AUD,closed,2020-10-17,False
A0046,C0046,credit_card,5693.94,AUD,active,2023-09-18,False
A0047,C0047,checking,60248.1,AUD,active,2023-09-24,False
A0048,C0048,credit_card,32819.23,AUD,active,2020-01-16,False
A0049,C0049,checking,33216.75,AUD,active,2022-06-02,False
A0050,C0050,checking,8007.65,AUD,active,2020-06-16,False
A0051,C0051,savings,68741.04,AUD,active,2021-03-19,False
A0052,C0052,credit_card,24212.25,AUD,active,2022-09-24,False
A0053,C0053,credit_card,12451.39,AUD,active,2022-03-26,False
A0054,C0054,credit_card,39825.36,AUD,active,2023-10-14,False
A0055,C0055,checking,124670.09,AUD,active,2023-08-16,False
A0056,C0056,checking,134632.61,AUD,active,2021-12-29,False
A0057,C0057,checking,39249.14,AUD,active,2020-10-27,False
A0058,C0058,credit_card,10252.12,AUD,active,2021-05-29,False
A0059,C0059,checking,94198.89,AUD,active,2023-02-10,False
A0060,C0060,checking,12083.76,AUD,active,2022-10-05,False
A0061,C0061,savings,41121.41,AUD,active,2023-01-22,False
A0062,C0062,credit_card,-568.23,AUD,active,2020-01-23,False
A0063,C0063,savings,57763.78,AUD,active,2021-06-08,False
A0064,C0064,credit_card,6767.41,AUD,active,2022-06-02,False
A0065,C0065,checking,49966.77,AUD,active,2023-03-23,False
A0066,C0066,checking,9808.72,AUD,active,2020-09-30,False
A0067,C0067,checking,135773.35,AUD,suspended,2023-08-23,False
A0068,C0068,credit_card,-3925.74,AUD,suspended,2023-10-26,False
A0069,C0069,checking,71808.47,AUD,active,2023-07-09,False
A0070,C0070,checking,113144.53,AUD,active,2022-03-12,True
