relationship_id,source_type,source_id,target_type,target_id,relationship_type,timestamp,metadata
R00001,account,A0009,device,D0007,LOGGED_IN_FROM,2024-05-13T17:19:47.342766,"{""ring_id"": ""RING-1""}"
R00002,account,A0009,device,D0048,LOGGED_IN_FROM,2024-05-26T22:19:32.790882,"{""ring_id"": ""RING-1""}"
R00003,account,A0009,account,A0027,SHARED_DEVICE,2024-04-10T16:52:28.111847,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00004,account,A0009,account,A0071,SHARED_DEVICE,2024-04-16T03:36:15.549913,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00005,account,A0009,account,A0073,SHARED_DEVICE,2024-04-11T15:31:52.976574,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00006,account,A0009,account,A0099,SHARED_DEVICE,2024-02-29T15:58:55.715779,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00007,account,A0009,account,A0110,SHARED_DEVICE,2024-01-23T02:58:21.732889,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00008,account,A0009,account,A0120,SHARED_DEVICE,2024-03-05T00:01:48.208545,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00009,account,A0009,account,A0140,SHARED_DEVICE,2024-04-30T10:14:21.188014,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00010,account,A0009,account,A0143,SHARED_DEVICE,2024-05-15T19:14:05.219133,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00011,account,A0027,device,D0007,LOGGED_IN_FROM,2024-06-06T02:59:32.260874,"{""ring_id"": ""RING-1""}"
R00012,account,A0027,device,D0048,LOGGED_IN_FROM,2024-05-10T12:17:15.318504,"{""ring_id"": ""RING-1""}"
R00013,account,A0027,account,A0071,SHARED_DEVICE,2024-06-24T06:43:25.062071,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00014,account,A0027,account,A0073,SHARED_DEVICE,2024-04-18T16:10:53.170608,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00015,account,A0027,account,A0099,SHARED_DEVICE,2024-03-04T15:33:03.710344,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00016,account,A0027,account,A0110,SHARED_DEVICE,2024-04-14T14:28:40.957988,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00017,account,A0027,account,A0120,SHARED_DEVICE,2024-02-08T12:08:14.538621,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00018,account,A0027,account,A0140,SHARED_DEVICE,2024-04-28T20:51:45.000650,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00019,account,A0027,account,A0143,SHARED_DEVICE,2024-02-10T14:07:10.961052,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00020,account,A0071,device,D0007,LOGGED_IN_FROM,2024-01-20T14:06:02.343931,"{""ring_id"": ""RING-1""}"
R00021,account,A0071,device,D0048,LOGGED_IN_FROM,2024-06-02T00:18:07.669455,"{""ring_id"": ""RING-1""}"
R00022,account,A0071,account,A0073,SHARED_DEVICE,2024-03-07T12:41:06.733943,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00023,account,A0071,account,A0099,SHARED_DEVICE,2024-05-18T00:45:31.914481,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00024,account,A0071,account,A0110,SHARED_DEVICE,2024-04-13T21:53:25.507737,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00025,account,A0071,account,A0120,SHARED_DEVICE,2024-05-26T02:34:10.690629,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00026,account,A0071,account,A0140,SHARED_DEVICE,2024-06-01T23:21:14.474917,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00027,account,A0071,account,A0143,SHARED_DEVICE,2024-06-25T09:25:49.582683,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00028,account,A0073,device,D0007,LOGGED_IN_FROM,2024-05-28T03:14:46.600241,"{""ring_id"": ""RING-1""}"
R00029,account,A0073,device,D0048,LOGGED_IN_FROM,2024-04-21T01:21:44.390326,"{""ring_id"": ""RING-1""}"
R00030,account,A0073,account,A0099,SHARED_DEVICE,2024-04-26T07:53:06.603636,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00031,account,A0073,account,A0110,SHARED_DEVICE,2024-01-05T18:02:47.917804,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00032,account,A0073,account,A0120,SHARED_DEVICE,2024-06-17T03:56:31.776295,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00033,account,A0073,account,A0140,SHARED_DEVICE,2024-05-30T03:10:39.617705,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00034,account,A0073,account,A0143,SHARED_DEVICE,2024-02-18T09:47:34.505050,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00035,account,A0099,device,D0007,LOGGED_IN_FROM,2024-02-02T15:43:38.699753,"{""ring_id"": ""RING-1""}"
R00036,account,A0099,device,D0048,LOGGED_IN_FROM,2024-05-07T04:31:24.489581,"{""ring_id"": ""RING-1""}"
