transaction_id,account_id,merchant_id,amount,currency,timestamp,channel,status,location,country,is_fraud,fraud_pattern
T00001,A0080,M0021,64.84,AUD,2024-04-17T16:51:32.742326,online,completed,Sydney,AU,False,
T00002,A0097,M0021,256.6,AUD,2024-05-13T17:14:13.832630,wire,completed,Sydney,AU,False,
T00003,A0109,M0017,21.19,AUD,2024-02-02T15:03:43.693117,pos,completed,London,UK,False,
T00004,A0125,M0007,17.24,AUD,2024-01-14T23:12:18.454331,online,completed,Singapore,SG,False,
T00005,A0139,M0027,93.47,AUD,2024-04-29T19:25:14.185709,wire,completed,New York,US,False,
T00006,A0097,M0005,615.61,AUD,2024-01-30T23:06:07.689572,mobile,completed,Melbourne,AU,False,
T00007,A0094,M0022,83.05,AUD,2024-05-21T20:49:43.540986,pos,completed,London,UK,False,
T00008,A0080,M0026,4.67,AUD,2024-04-13T05:54:06.641182,mobile,completed,Singapore,SG,False,
T00009,A0073,M0025,19.79,AUD,2024-06-23T21:28:07.887096,pos,completed,New York,US,False,
T00010,A0036,M0028,7.89,AUD,2024-06-07T05:09:50.433505,wire,pending,Brisbane,AU,False,
T00011,A0133,M0028,9.3,AUD,2024-04-02T22:00:15.456822,mobile,completed,Brisbane,AU,False,
T00012,A0057,M0027,28.37,AUD,2024-01-05T19:51:19.111853,online,completed,New York,US,False,
T00013,A0096,M0008,25.66,AUD,2024-02-10T15:23:46.922602,atm,pending,Melbourne,AU,False,
T00014,A0086,M0026,168.81,AUD,2024-05-30T10:20:38.223202,mobile,completed,Singapore,SG,False,
T00015,A0002,M0029,10.34,AUD,2024-05-31T03:04:46.931818,wire,pending,New York,US,False,
T00016,A0136,M0014,10.76,AUD,2024-02-24T12:12:02.841417,online,completed,Lagos,NG,False,
T00017,A0118,M0003,40.55,AUD,2024-04-03T06:47:31.819307,pos,completed,New York,US,False,
T00018,A0075,M0014,39.61,AUD,2024-04-30T22:43:31.937818,wire,reversed,Lagos,NG,False,
T00019,A0018,M0017,50.65,AUD,2024-04-01T21:06:45.093149,online,completed,London,UK,False,
T00020,A0121,M0002,81.98,AUD,2024-05-12T15:53:44.869854,online,completed,Singapore,SG,False,
T00021,A0086,M0005,4.19,AUD,2024-05-27T05:52:57.043112,pos,completed,Melbourne,AU,False,
T00022,A0119,M0023,31.37,AUD,2024-01-25T09:47:58.605780,mobile,completed,Perth,AU,False,
T00023,A0052,M0002,19.1,AUD,2024-03-13T01:53:07.072440,wire,completed,Singapore,SG,False,
T00024,A0010,M0025,50.58,AUD,2024-06-05T01:07:47.194890,online,failed,New York,US,False,
T00025,A0085,M0009,9.74,AUD,2024-06-09T23:55:45.947645,mobile,failed,Singapore,SG,False,
T00026,A0099,M0011,229.46,AUD,2024-03-31T01:14:29.821172,wire,completed,New York,US,False,
T00027,A0022,M0024,25.2,AUD,2024-06-29T02:42:23.141098,pos,completed,Brisbane,AU,False,
T00028,A0083,M0004,12.15,AUD,2024-03-18T03:02:53.594174,mobile,completed,Sydney,AU,False,
T00029,A0011,M0024,107.4,AUD,2024-06-29T15:57:58.308214,atm,completed,Brisbane,AU,False,
T00030,A0015,M0003,59.95,AUD,2024-04-02T20:50:44.406794,pos,reversed,New York,US,False,
T00031,A0037,M0028,91.16,AUD,2024-01-07T07:10:00.146744,online,completed,Brisbane,AU,False,
T00032,A0094,M0012,18.97,AUD,2024-04-19T12:31:54.971563,mobile,pending,Brisbane,AU,False,
T00033,A0096,M0015,118.05,AUD,2024-04-05T19:58:25.411417,mobile,completed,Lagos,NG,False,
T00034,A0072,M0008,8.67,AUD,2024-06-14T08:25:43.122909,online,completed,Melbourne,AU,False,
T00035,A0067,M0023,32.44,AUD,2024-06-03T08:40:38.659546,mobile,completed,Perth,AU,False,
T00036,A0114,M0003,86.37,AUD,2024-02-22T13:20:01.522993,atm,failed,New York,US,False,
T00037,A0045,M0026,22.93,AUD,2024-06-27T07:24:56.818785,pos,completed,Singapore,SG,False,
T00038,A0127,M0001,16.95,AUD,2024-03-25T14:24:39.477179,wire,completed,Singapore,SG,False,
T00039,A0023,M0003,85.62,AUD,2024-05-19T05:15:02.904580,wire,completed,New York,US,False,
T00040,A0082,M0021,6.42,AUD,2024-04-03T15:24:42.808844,pos,failed,Sydney,AU,False,
T00041,A0142,M0021,72.11,AUD,2024-01-24T08:31:09.007211,wire,pending,Sydney,AU,False,
T00042,A0015,M0027,13.28,AUD,2024-01-30T19:16:13.278154,atm,pending,New York,US,False,
T00043,A0058,M0012,224.7,AUD,2024-02-21T09:54:21.095240,online,completed,Brisbane,AU,False,
T00044,A0142,M0009,10.95,AUD,2024-04-06T13:25:42.820730,wire,completed,Singapore,SG,False,
