~id,~from,~to,~label,timestamp
R00001,A0009,D0007,LOGGED_IN_FROM,2024-05-13T17:19:47.342766
R00002,A0009,D0048,LOGGED_IN_FROM,2024-05-26T22:19:32.790882
R00003,A0009,A0027,SHARED_DEVICE,2024-04-10T16:52:28.111847
R00004,A0009,A0071,SHARED_DEVICE,2024-04-16T03:36:15.549913
R00005,A0009,A0073,SHARED_DEVICE,2024-04-11T15:31:52.976574
R00006,A0009,A0099,SHARED_DEVICE,2024-02-29T15:58:55.715779
R00007,A0009,A0110,SHARED_DEVICE,2024-01-23T02:58:21.732889
R00008,A0009,A0120,SHARED_DEVICE,2024-03-05T00:01:48.208545
R00009,A0009,A0140,SHARED_DEVICE,2024-04-30T10:14:21.188014
R00010,A0009,A0143,SHARED_DEVICE,2024-05-15T19:14:05.219133
R00011,A0027,D0007,LOGGED_IN_FROM,2024-06-06T02:59:32.260874
R00012,A0027,D0048,LOGGED_IN_FROM,2024-05-10T12:17:15.318504
R00013,A0027,A0071,SHARED_DEVICE,2024-06-24T06:43:25.062071
R00014,A0027,A0073,SHARED_DEVICE,2024-04-18T16:10:53.170608
R00015,A0027,A0099,SHARED_DEVICE,2024-03-04T15:33:03.710344
R00016,A0027,A0110,SHARED_DEVICE,2024-04-14T14:28:40.957988
R00017,A0027,A0120,SHARED_DEVICE,2024-02-08T12:08:14.538621
R00018,A0027,A0140,SHARED_DEVICE,2024-04-28T20:51:45.000650
R00019,A0027,A0143,SHARED_DEVICE,2024-02-10T14:07:10.961052
R00020,A0071,D0007,LOGGED_IN_FROM,2024-01-20T14:06:02.343931
R00021,A0071,D0048,LOGGED_IN_FROM,2024-06-02T00:18:07.669455
R00022,A0071,A0073,SHARED_DEVICE,2024-03-07T12:41:06.733943
R00023,A0071,A0099,SHARED_DEVICE,2024-05-18T00:45:31.914481
R00024,A0071,A0110,SHARED_DEVICE,2024-04-13T21:53:25.507737
R00025,A0071,A0120,SHARED_DEVICE,2024-05-26T02:34:10.690629
R00026,A0071,A0140,SHARED_DEVICE,2024-06-01T23:21:14.474917
R00027,A0071,A0143,SHARED_DEVICE,2024-06-25T09:25:49.582683
R00028,A0073,D0007,LOGGED_IN_FROM,2024-05-28T03:14:46.600241
R00029,A0073,D0048,LOGGED_IN_FROM,2024-04-21T01:21:44.390326
R00030,A0073,A0099,SHARED_DEVICE,2024-04-26T07:53:06.603636
R00031,A0073,A0110,SHARED_DEVICE,2024-01-05T18:02:47.917804
R00032,A0073,A0120,SHARED_DEVICE,2024-06-17T03:56:31.776295
R00033,A0073,A0140,SHARED_DEVICE,2024-05-30T03:10:39.617705
R00034,A0073,A0143,SHARED_DEVICE,2024-02-18T09:47:34.505050
R00035,A0099,D0007,LOGGED_IN_FROM,2024-02-02T15:43:38.699753
R00036,A0099,D0048,LOGGED_IN_FROM,2024-05-07T04:31:24.489581
R00037,A0099,A0110,SHARED_DEVICE,2024-02-25T22:13:46.157798
R00038,A0099,A0120,SHARED_DEVICE,2024-03-02T12:11:53.912545
R00039,A0099,A0140,SHARED_DEVICE,2024-01-02T02:31:24.777010
R00040,A0099,A0143,SHARED_DEVICE,2024-06-06T10:41:00.949899
R00041,A0110,D0007,LOGGED_IN_FROM,2024-04-12T12:05:55.808316
R00042,A0110,D0048,LOGGED_IN_FROM,2024-03-13T13:00:25.885202
R00043,A0110,A0120,SHARED_DEVICE,2024-01-26T16:18:12.591479
R00044,A0110,A0140,SHARED_DEVICE,2024-04-24T14:29:57.202712
R00045,A0110,A0143,SHARED_DEVICE,2024-01-06T13:10:27.967320
R00046,A0120,D0007,LOGGED_IN_FROM,2024-05-15T01:06:34.178950
R00047,A0120,D0048,LOGGED_IN_FROM,2024-02-08T22:32:14.031116
R00048,A0120,A0140,SHARED_DEVICE,2024-03-16T23:45:08.470487
R00049,A0120,A0143,SHARED_DEVICE,2024-03-02T16:51:07.721302
R00050,A0140,D0007,LOGGED_IN_FROM,2024-03-07T23:30:38.281392
R00051,A0140,D0048,LOGGED_IN_FROM,2024-05-10T14:36:46.381947
R00052,A0140,A0143,SHARED_DEVICE,2024-05-20T14:34:26.159288
R00053,A0143,D0007,LOGGED_IN_FROM,2024-04-12T17:37:35.075759
R00054,A0143,D0048,LOGGED_IN_FROM,2024-01-16T09:03:12.173979
R00055,C0073,C0027,KNOWN_ASSOCIATE,2024-01-10T12:31:57.871173
R00056,C0073,C0009,KNOWN_ASSOCIATE,2024-01-29T11:47:18.934921
R00057,C0073,C0071,KNOWN_ASSOCIATE,2024-04-21T19:53:20.624232
R00058,C0073,C0099,KNOWN_ASSOCIATE,2024-05-01T23:43:12.284052
R00059,C0027,C0009,KNOWN_ASSOCIATE,2024-02-19T06:00:53.108513
R00060,C0027,C0071,KNOWN_ASSOCIATE,2024-04-29T19:27:42.053613
R00061,C0027,C0099,KNOWN_ASSOCIATE,2024-03-28T21:42:52.005767
R00062,C0009,C0071,KNOWN_ASSOCIATE,2024-03-21T00:14:23.809255
R00063,C0009,C0099,KNOWN_ASSOCIATE,2024-02-19T10:38:12.378914
R00064,C0071,C0099,KNOWN_ASSOCIATE,2024-05-16T15:28:22.857943
R00065,A0028,D0034,LOGGED_IN_FROM,2024-06-27T04:25:54.983089
R00066,A0028,D0043,LOGGED_IN_FROM,2024-01-10T21:58:22.180089
R00067,A0028,A0030,SHARED_DEVICE,2024-02-07T00:00:50.587893
R00068,A0028,A0076,SHARED_DEVICE,2024-06-20T02:29:16.205685
R00069,A0030,D0034,LOGGED_IN_FROM,2024-05-18T21:21:58.847863
R00070,A0030,D0043,LOGGED_IN_FROM,2024-05-18T07:30:53.752273
R00071,A0030,A0076,SHARED_DEVICE,2024-02-22T09:21:30.016831
R00072,A0076,D0034,LOGGED_IN_FROM,2024-01-22T17:12:43.160605
R00073,A0076,D0043,LOGGED_IN_FROM,2024-03-31T00:38:30.722987
R00074,C0076,C0028,KNOWN_ASSOCIATE,2024-03-18T22:45:55.329552
R00075,C0076,C0030,KNOWN_ASSOCIATE,2024-01-24T09:10:57.678391
R00076,C0028,C0030,KNOWN_ASSOCIATE,2024-04-06T09:32:15.788890
R00077,A0001,D0028,LOGGED_IN_FROM,2024-01-04T09:24:47.645741
R00078,A0001,A0019,SHARED_DEVICE,2024-06-15T17:31:46.615723
R00079,A0001,A0043,SHARED_DEVICE,2024-06-05T01:00:21.236871
R00080,A0001,A0077,SHARED_DEVICE,2024-04-14T05:05:52.059267
R00081,A0001,A0121,SHARED_DEVICE,2024-04-13T18:50:53.569565
R00082,A0001,A0126,SHARED_DEVICE,2024-05-08T10:03:48.560600
R00083,A0019,D0028,LOGGED_IN_FROM,2024-03-16T14:27:45.221616
R00084,A0019,A0043,SHARED_DEVICE,2024-01-21T20:18:47.271066
R00085,A0019,A0077,SHARED_DEVICE,2024-01-04T18:36:03.212653
R00086,A0019,A0121,SHARED_DEVICE,2024-02-28T18:47:34.697441
R00087,A0019,A0126,SHARED_DEVICE,2024-05-25T00:56:36.377969
R00088,A0043,D0028,LOGGED_IN_FROM,2024-04-21T21:08:10.117657
R00089,A0043,A0077,SHARED_DEVICE,2024-05-30T14:19:14.038981
R00090,A0043,A0121,SHARED_DEVICE,2024-06-15T11:28:47.285632
R00091,A0043,A0126,SHARED_DEVICE,2024-01-16T22:50:10.335689
R00092,A0077,D0028,LOGGED_IN_FROM,2024-06-01T20:26:24.212526
R00093,A0077,A0121,SHARED_DEVICE,2024-02-14T00:58:00.359868
R00094,A0077,A0126,SHARED_DEVICE,2024-04-16T14:03:24.754996
R00095,A0121,D0028,LOGGED_IN_FROM,2024-04-04T20:05:35.832461
R00096,A0121,A0126,SHARED_DEVICE,2024-03-12T15:12:37.912165
R00097,A0126,D0028,LOGGED_IN_FROM,2024-02-26T03:49:57.707814
R00098,C0043,C0019,KNOWN_ASSOCIATE,2024-03-02T10:50:44.495912
R00099,C0043,C0077,KNOWN_ASSOCIATE,2024-03-01T06:51:00.345997
R00100,C0043,C0001,KNOWN_ASSOCIATE,2024-01-31T10:22:06.541502
R00101,C0019,C0077,KNOWN_ASSOCIATE,2024-04-02T09:32:21.796984
R00102,C0019,C0001,KNOWN_ASSOCIATE,2024-01-21T15:19:54.204451
R00103,C0077,C0001,KNOWN_ASSOCIATE,2024-04-02T07:13:54.331432
R00104,A0017,D0013,LOGGED_IN_FROM,2024-04-19T00:49:16.291296
R00105,A0017,D0012,LOGGED_IN_FROM,2024-05-17T14:22:30.877881
R00106,A0017,A0033,SHARED_DEVICE,2024-04-28T15:31:52.110096
R00107,A0017,A0036,SHARED_DEVICE,2024-02-02T01:31:22.022928
R00108,A0017,A0070,SHARED_DEVICE,2024-05-19T21:15:07.558889
R00109,A0017,A0091,SHARED_DEVICE,2024-03-30T10:26:39.684032
R00110,A0017,A0109,SHARED_DEVICE,2024-05-16T13:18:45.593542
R00111,A0033,D0013,LOGGED_IN_FROM,2024-05-17T12:54:22.816426
R00112,A0033,D0012,LOGGED_IN_FROM,2024-03-22T06:02:39.970992
R00113,A0033,A0036,SHARED_DEVICE,2024-06-16T06:31:33.954338
R00114,A0033,A0070,SHARED_DEVICE,2024-04-12T04:09:08.305566
R00115,A0033,A0091,SHARED_DEVICE,2024-04-24T23:44:09.232797
R00116,A0033,A0109,SHARED_DEVICE,2024-04-23T00:55:21.395624
R00117,A0036,D0013,LOGGED_IN_FROM,2024-06-05T10:17:18.327364
R00118,A0036,D0012,LOGGED_IN_FROM,2024-04-23T12:37:56.696061
R00119,A0036,A0070,SHARED_DEVICE,2024-01-28T07:45:32.225945
R00120,A0036,A0091,SHARED_DEVICE,2024-01-13T08:38:07.824860
R00121,A0036,A0109,SHARED_DEVICE,2024-03-21T00:57:06.585497
R00122,A0070,D0013,LOGGED_IN_FROM,2024-02-24T19:27:07.092878
R00123,A0070,D0012,LOGGED_IN_FROM,2024-02-19T17:10:56.681616
R00124,A0070,A0091,SHARED_DEVICE,2024-01-11T04:00:42.084740
R00125,A0070,A0109,SHARED_DEVICE,2024-04-01T19:52:17.146916
R00126,A0091,D0013,LOGGED_IN_FROM,2024-02-26T04:24:42.130922
R00127,A0091,D0012,LOGGED_IN_FROM,2024-03-22T19:06:49.766097
R00128,A0091,A0109,SHARED_DEVICE,2024-01-11T07:07:49.370962
R00129,A0109,D0013,LOGGED_IN_FROM,2024-05-30T12:53:24.604601
R00130,A0109,D0012,LOGGED_IN_FROM,2024-01-14T21:19:10.088751
R00131,C0036,C0091,KNOWN_ASSOCIATE,2024-06-05T10:18:07.730536
R00132,C0036,C0017,KNOWN_ASSOCIATE,2024-06-03T19:23:39.860179
R00133,C0036,C0070,KNOWN_ASSOCIATE,2024-04-21T07:35:47.181398
R00134,C0036,C0033,KNOWN_ASSOCIATE,2024-04-01T18:42:09.354595
R00135,C0091,C0017,KNOWN_ASSOCIATE,2024-03-24T18:01:10.006968
R00136,C0091,C0070,KNOWN_ASSOCIATE,2024-04-10T07:57:01.141537
R00137,C0091,C0033,KNOWN_ASSOCIATE,2024-05-23T07:39:23.440755
R00138,C0017,C0070,KNOWN_ASSOCIATE,2024-06-11T03:41:19.210484
R00139,C0017,C0033,KNOWN_ASSOCIATE,2024-03-22T09:38:35.551174
R00140,C0070,C0033,KNOWN_ASSOCIATE,2024-05-26T13:50:25.247328
R00141,A0004,D0022,LOGGED_IN_FROM,2024-06-26T19:28:58.671371
R00142,A0004,A0015,SHARED_DEVICE,2024-01-16T06:19:32.698253
R00143,A0004,A0023,SHARED_DEVICE,2024-04-26T22:46:33.902142
